# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	49298
#@/user_id	stella
a 	啊	c=109 d=5.39376 t=49298
xiao mo 	消磨	c=1 d=0.278037 t=49298
xiao mu zhi 	小拇指	c=1 d=0.0151463 t=49298
xiao nei 	校內	c=1 d=0.802519 t=49298
xiao ni 	小妮	c=1 d=0.0228227 t=49298
xiao niu 	小牛	c=1 d=2.30043e-07 t=49298
xiao nong 	小農	c=1 d=0.384812 t=49298
xiao peng you 	小朋友	c=1 d=0.000784864 t=49298
xiao qu 	小區	c=1 d=0.918512 t=49298
xiao qu 	校區	c=1 d=0.634448 t=49298
xiao ran 	肖然	c=1 d=0.135335 t=49298
xiao shan 	小山	c=1 d=1.39528e-07 t=49298
xiao shi 	小時	c=9 d=0.939115 t=49298
xiao shi 	消失	c=3 d=0.866315 t=49298
xiao shi guan 	校史館	c=2 d=1.25056 t=49298
xiao shi hou 	小時候	c=7 d=0.384337 t=49298
xiao shou 	銷售	c=1 d=0.168638 t=49298
xiao shou e 	銷售額	c=0 d=0.0416862 t=49298
xiao shu 	小鼠	c=34 d=3.84738 t=49298
xiao si 	笑死	c=1 d=0.000141247 t=49298
xiao suan 	硝酸	c=2 d=0.0925506 t=49298
xiao suan huan yuan mei fa 	硝酸還原酶法	c=1 d=2.04558e-08 t=49298
xiao suan yan 	硝酸鹽	c=3 d=7.20813e-09 t=49298
xiao ti qin 	小提琴	c=1 d=0.965605 t=49298
xiao wang 	消亡	c=1 d=0.927743 t=49298
xiao wei qi ye 	小微企業	c=2 d=0.846635 t=49298
xiao wen chao 	校文超	c=4 d=0.295605 t=49298
xiao xi 	消息	c=3 d=1.0577 t=49298
xiao xian cheng 	小縣城	c=1 d=0.0147723 t=49298
xiao xiang 	瀟湘	c=0 d=4.67015e-15 t=49298
xiao xiao 	蕭蕭	c=0 d=7.27764e-15 t=49298
xiao xiao ban ma ming 	蕭蕭班馬鳴	c=1 d=5.79034e-14 t=49298
xiao xie 	小謝	c=0 d=6.17921e-15 t=49298
xiao xing 	小型	c=1 d=0.960789 t=49298
xiao xiu rong 	肖秀榮	c=3 d=0.995012 t=49298
xiao xue 	小學	c=1 d=0.158817 t=49298
xiao yan 	硝煙	c=0 d=0.0183599 t=49298
xiao yan zhan huo 	硝煙戰火	c=1 d=0.18452 t=49298
xiao yi 	效益	c=2 d=1.00335 t=49298
xiao yi fen xi 	效益分析	c=1 d=7.00077e-12 t=49298
xiao yi yao 	校一堯	c=1 d=0.603506 t=49298
xiao ying 	效應	c=13 d=0.762627 t=49298
xiao ying biao zhi 	效應標誌	c=1 d=3.60902e-11 t=49298
xiao ying de gu ji 	效應的估計	c=1 d=3.37373e-12 t=49298
xiao ying fen zi 	效應分子	c=2 d=0.000825767 t=49298
xiao ying gong deng 	效應宮燈	c=-1 d=3.6902e-08 t=49298
xiao ying gong neng 	效應功能	c=2 d=0.373461 t=49298
xiao ying ji 	效應劑	c=1 d=0.336216 t=49298
xiao ying ji zhi 	效應機制	c=1 d=0.402524 t=49298
xiao ying jie duan 	效應階段	c=1 d=0.000411789 t=49298
xiao ying ming xian 	效應明顯	c=1 d=0.121238 t=49298
xiao ying sheng wu biao zhi 	效應生物標誌	c=1 d=1.26599e-10 t=49298
xiao ying xi bao 	效應細胞	c=1 d=0.000415927 t=49298
xiao yong 	效用	c=0 d=7.00077e-13 t=49298
xiao yong fen xi 	效用分析	c=1 d=7.03587e-12 t=49298
xiao yu 	小於	c=2 d=0.153357 t=49298
xiao yu 	小雨	c=3 d=0.152592 t=49298
xiao yuan 	校園	c=7 d=1.78946 t=49298
xiao yuan li 	校園裏	c=1 d=0.985112 t=49298
xiao zhang 	消長	c=0 d=1.18959e-14 t=49298
xiao zhi 	小指	c=1 d=0.355226 t=49298
xiao zhi tiao 	小紙條	c=1 d=0.000750328 t=49298
xie 	些	c=2 d=0.600496 t=49298
xie 	協	c=0 d=6.67772e-16 t=49298
xie 	寫	c=16 d=1.80912 t=49298
xie 	挾	c=0 d=1.12592e-14 t=49298
xie 	攜	c=0 d=1.59777e-14 t=49298
xie 	斜	c=0 d=0.0860708 t=49298
xie 	歇	c=1 d=0.318224 t=49298
xie 	血	c=0 d=0.0514274 t=49298
xie 	謝	c=4 d=1.20074 t=49298
xie an suan 	纈氨酸	c=3 d=0.88692 t=49298
xie ba 	寫吧	c=1 d=7.32052e-08 t=49298
xie bian 	斜邊	c=1 d=0.20089 t=49298
xie bu chu 	寫不出	c=1 d=0.470011 t=49298
xie cheng 	寫成	c=2 d=0.970446 t=49298
xie cuo 	寫錯	c=0 d=0.000275318 t=49298
xie cuo le 	寫錯了	c=1 d=0.00276698 t=49298
xie dai 	攜帶	c=2 d=0.155682 t=49298
xie dai zhe 	攜帶者	c=1 d=3.05164e-08 t=49298
xie de 	寫的	c=4 d=0.413601 t=49298
xie de jiao xun 	血的教訓	c=1 d=0.494109 t=49298
xie di zi 	血滴子	c=1 d=0.0257325 t=49298
xie duo shao 	寫多少	c=1 d=1.88343e-07 t=49298
xie fa 	寫法	c=2 d=0.732415 t=49298
xie fang cha 	協方差	c=2 d=0.226539 t=49298
xie fei xian yi ao you 	挾飛仙以遨遊	c=1 d=1.13157e-13 t=49298
xie ge 	寫個	c=1 d=0.00151098 t=49298
xie gong ji 	謝公屐	c=0 d=1.98614e-15 t=49298
xie gong su chu jin shang zai 	謝公宿處今尚在	c=1 d=1.97623e-14 t=49298
xie guan 	血管	c=0 d=0.143398 t=49298
xie guan bi 	血管壁	c=1 d=0.97531 t=49298
xie guan tong tou xing 	血管通透性	c=1 d=0.843665 t=49298
xie guo 	寫過	c=1 d=0.995012 t=49298
xie hao 	寫好	c=3 d=0.138732 t=49298
xie he 	協和	c=4 d=0.390069 t=49298
xie hong dan bai 	血紅蛋白	c=2 d=0.928369 t=49298
xie hong su 	血紅素	c=0 d=0.00224829 t=49298
xie hui 	協會	c=0 d=0.0454001 t=49298
xie ji ju 	寫幾句	c=1 d=0.909373 t=49298
xie le 	寫了	c=3 d=0.806574 t=49298
xie ling yun 	謝靈運	c=1 d=6.32036e-15 t=49298
xie liu 	血流	c=1 d=0.0132336 t=49298
xie lv 	斜率	c=1 d=9.54341e-10 t=49298
xie men 	邪門	c=1 d=0.733447 t=49298
xie meng ke 	謝夢珂	c=6 d=0.0203172 t=49298
xie qing 	血清	c=2 d=0.794907 t=49298
xie rou 	血肉	c=1 d=0.0689068 t=49298
xie shang 	協商	c=0 d=0.0122456 t=49298
xie shang 	寫上	c=1 d=2.31794e-08 t=49298
xie shou 	攜手	c=0 d=1.00068e-09 t=49298
xie shou gong xing le 	攜手共行樂	c=1 d=6.95025e-15 t=49298
xie tang 	血糖	c=1 d=0.99005 t=49298
xie tiao 	協調	c=3 d=0.684092 t=49298
xie tiao 	謝脁	c=2 d=0.0665368 t=49298
xie tiao fa zhan 	協調發展	c=0 d=0.160859 t=49298
xie tong 	協同	c=1 d=0.110299 t=49298
xie tong ci ji fen zi 	協同刺激分子	c=1 d=0.084163 t=49298
xie tong xiao ying 	協同效應	c=1 d=0.64236 t=49298
xie tong yan fa 	協同研發	c=1 d=0.733447 t=49298
xie tong zuo yong 	協同作用	c=1 d=1.39215e-10 t=49298
xie wan 	寫完	c=1 d=0.00670434 t=49298
xie xi 	脅息	c=0 d=3.291e-15 t=49298
xie xi bao 	血細胞	c=3 d=0.00901799 t=49298
xie xie 	歇歇	c=1 d=0.729789 t=49298
xie xie 	謝謝	c=21 d=2.2155 t=49298
xie xu 	些許	c=1 d=0.0672055 t=49298
xie xuan cheng 	謝宣城	c=1 d=0.00122477 t=49298
xie yao 	謝邀	c=3 d=2.29504 t=49298
xie ye 	血液	c=5 d=0.85975 t=49298
xie yi 	協議	c=4 d=0.590714 t=49298
xie yi gong zi zhi 	協議工資製	c=1 d=0.160414 t=49298
xie yu huo 	血與火	c=1 d=0.346456 t=49298
xie yuan chen 	謝元辰	c=2 d=1.26787 t=49298
xie yue chen chen cang hai wu 	斜月沉沉藏海霧	c=1 d=4.67015e-14 t=49298
xie zhe 	寫着	c=1 d=0.130029 t=49298
xie zhi 	血脂	c=1 d=6.33349e-10 t=49298
xie zhuo 	寫着	c=1 d=0.131994 t=49298
xie zi 	鞋子	c=1 d=0.0682212 t=49298
xie zuan 	謝纘	c=1 d=0.366045 t=49298
xie zuo 	協作	c=0 d=0.0767206 t=49298
xie zuo 	寫作	c=2 d=0.290835 t=49298
xin 	信	c=0 d=1.85186e-15 t=49298
xin 	心	c=2 d=0.913931 t=49298
xin 	新	c=19 d=2.41213 t=49298
xin 	鋅	c=0 d=1.0622e-05 t=49298
xin ai 	心愛	c=1 d=0.574072 t=49298
xin ban 	新版	c=2 d=0.22767 t=49298
xin bing li 	新病例	c=2 d=2.21537e-12 t=49298
xin chan ye 	新產業	c=3 d=1.16176 t=49298
xin chang tai 	新常態	c=5 d=2.43869 t=49298
xin chao 	新潮	c=0 d=0.0318224 t=49298
xin chao ying yuan 	新潮影院	c=1 d=0.319819 t=49298
xin che 	新車	c=2 d=0.209875 t=49298
xin chen dai xie 	新陳代謝	c=1 d=5.45128e-10 t=49298
xin chong 	新寵	c=1 d=0.794534 t=49298
xin chou 	薪酬	c=0 d=0.0680451 t=49298
xin chou zhi du gai ge 	薪酬制度改革	c=1 d=0.29523 t=49298
xin de 	新的	c=10 d=2.34775 t=49298
xin de jie gou 	新的結構	c=1 d=0.273898 t=49298
xin de xi wang 	新的希望	c=1 d=0.0181334 t=49298
xin dong fang 	新東方	c=2 d=0.786491 t=49298
xin dong neng 	新動能	c=2 d=1.42882 t=49298
xin du 	信度	c=2 d=0.99005 t=49298
xin fa 	新發	c=1 d=0.895834 t=49298
xin fa zhan 	新發展	c=0 d=0.0337902 t=49298
xin fa zhan li nian 	新發展理念	c=2 d=0.809607 t=49298
xin fang 	信訪	c=0 d=0.00816756 t=49298
xin fang ju 	信訪局	c=2 d=0.89814 t=49298
xin fang wei 	新方位	c=1 d=0.524663 t=49298
xin feng shang 	新風尚	c=1 d=0.923116 t=49298
xin ge ju 	新格局	c=1 d=0.628135 t=49298
xin gong ji 	新供給	c=1 d=0.429557 t=49298
xin gong ye ge ming 	新工業革命	c=3 d=0.151244 t=49298
xin hao 	信號	c=22 d=2.14002 t=49298
xin hao chuan dao 	信號傳導	c=8 d=0.00133542 t=49298
xin hao fen zi 	信號分子	c=1 d=0.29523 t=49298
xin hao shi bie ti 	信號識別體	c=1 d=0.767206 t=49298
xin hao tong lu 	信號通路	c=2 d=1.11315 t=49298
xin hao yuan 	信號源	c=1 d=0.145148 t=49298
xin hao zhuan dao 	信號轉導	c=4 d=1.97692 t=49298
xin hao zhuan dao zi 	信號轉導子	c=1 d=0.718924 t=49298
xin hua she 	新華社	c=4 d=1.05618 t=49298
xin hua wang 	新華網	c=1 d=0.985112 t=49298
xin hua zi dian 	新華字典	c=1 d=0.084163 t=49298
xin hun 	新婚	c=0 d=1.04674e-09 t=49298
xin ji 	心機	c=1 d=0.412714 t=49298
xin ji 	新機	c=-1 d=4.42953e-08 t=49298
xin ji shu 	新技術	c=1 d=0.960789 t=49298
xin jian 	新建	c=2 d=0.398808 t=49298
xin jiang 	新疆	c=0 d=0.0438235 t=49298
xin jiang sheng chan jian she bing tuan 	新疆生產建設兵團	c=1 d=0.440432 t=49298
xin jie duan 	新階段	c=0 d=0.0396531 t=49298
xin jin zhan 	新進展	c=1 d=0.467666 t=49298
xin jiu 	新舊	c=2 d=0.644036 t=49298
xin ju mian 	新局面	c=1 d=0.97531 t=49298
xin kan 	心坎	c=0 d=0.0182684 t=49298
xin kan shang 	心坎上	c=1 d=0.183599 t=49298
xin ku 	辛苦	c=1 d=0.07502 t=49298
xin lai 	信賴	c=0 d=0.071177 t=49298
xin lao 	新老	c=2 d=0.345039 t=49298
xin lao 	辛勞	c=1 d=1.71245e-05 t=49298
xin li 	心理	c=3 d=0.663552 t=49298
xin li 	心裏	c=2 d=0.666779 t=49298
xin li xue 	心理學	c=0 d=1.60551e-12 t=49298
xin li yin su 	心理因素	c=1 d=1.58953e-11 t=49298
xin li zhun bei 	心理準備	c=1 d=0.283654 t=49298
xin lin 	新林	c=0 d=1.13238e-15 t=49298
xin lu zi 	新路子	c=1 d=0.423162 t=49298
xin lv 	心率	c=1 d=1.2949e-11 t=49298
xin mei ti 	新媒體	c=1 d=0.900325 t=49298
xin mo shi 	新模式	c=4 d=0.723808 t=49298
xin nao 	心腦	c=0 d=0.0582748 t=49298
xin nao xie guan 	心腦血管	c=1 d=0.585669 t=49298
xin nei rong 	新內容	c=1 d=0.249075 t=49298
xin neng yuan qi che 	新能源汽車	c=1 d=0.790571 t=49298
xin pian 	芯片	c=2 d=0.000691686 t=49298
xin qi ji 	辛棄疾	c=1 d=6.2694e-08 t=49298
xin shen 	心身	c=0 d=1.66269e-12 t=49298
xin shen ji bing 	心身疾病	c=1 d=1.67102e-11 t=49298
xin sheng 	新生	c=2 d=0.903376 t=49298
xin sheng 	新聲	c=0 d=7.91109e-10 t=49298
xin sheng er 	新生兒	c=1 d=0.400517 t=49298
xin sheng er si wang lv 	新生兒死亡率	c=1 d=8.23535e-11 t=49298
xin sheng miao ru shen 	新聲妙入神	c=1 d=7.95075e-09 t=49298
xin sheng qi 	新生期	c=1 d=0.166127 t=49298
xin sheng qi ye 	新生企業	c=1 d=0.311923 t=49298
xin sheng shi wu 	新生事物	c=1 d=0.18452 t=49298
xin shi 	信使	c=3 d=0.853656 t=49298
xin shi 	新式	c=1 d=1.4093e-07 t=49298
xin shi dai 	新時代	c=1 d=0.726149 t=49298
xin shi wu 	新事物	c=1 d=0.546074 t=49298
xin shu 	新書	c=2 d=0.0682219 t=49298
xin si lu 	新思路	c=1 d=0.0513033 t=49298
xin tai 	心態	c=1 d=0.382893 t=49298
xin tian di 	新天地	c=1 d=0.0157644 t=49298
xin tu po 	新突破	c=1 d=0.0492917 t=49298
xin wen 	新聞	c=4 d=1.22988 t=49298
xin wen bao dao 	新聞報道	c=1 d=0.442639 t=49298
xin xi 	信息	c=15 d=1.9535 t=49298
xin xi chan ye 	信息產業	c=0 d=0.00720785 t=49298
xin xi fa bu 	信息發佈	c=0 d=0.0177611 t=49298
xin xi fu wu 	信息服務	c=0 d=0.0117068 t=49298
xin xi fu wu ti xi 	信息服務體系	c=1 d=0.117655 t=49298
xin xi gong xiang 	信息共享	c=1 d=0.29523 t=49298
xin xi hua 	信息化	c=1 d=0.19398 t=49298
xin xi ji shu 	信息技術	c=1 d=0.576367 t=49298
xin xi liu liang 	信息流量	c=1 d=0.265803 t=49298
xin xi pian yi 	信息偏倚	c=1 d=7.35972e-12 t=49298
xin xi tong xin ye 	信息通信業	c=1 d=0.324652 t=49298
xin xi wang luo 	信息網絡	c=1 d=0.551563 t=49298
xin xi xi tong 	信息系統	c=0 d=2.76218e-13 t=49298
xin xi xiao fei 	信息消費	c=1 d=0.343009 t=49298
xin xiang 	新鄉	c=1 d=0.763379 t=49298
xin xiang yi xue yuan 	新鄉醫學院	c=1 d=0.818731 t=49298
xin xiao 	鋅小	c=-1 d=1.84677e-11 t=49298
xin xiao qu 	新校區	c=2 d=0.941765 t=49298
xin xin 	信心	c=1 d=0.514274 t=49298
xin xing 	新型	c=0 d=0.0774916 t=49298
xin xing 	新興	c=1 d=0.523379 t=49298
xin xing chan ye 	新興產業	c=3 d=0.719501 t=49298
xin xing chan ye sheng tai quan 	新型產業生態圈	c=1 d=0.778801 t=49298
xin xing cheng zhen hua jian she 	新型城鎮化建設	c=1 d=0.548812 t=49298
xin xing fu wu ye 	新興服務業	c=1 d=0.423162 t=49298
xin xing jian kang fu wu ji gou 	新型健康服務機構	c=1 d=0.522046 t=49298
xin xing shi 	新形勢	c=1 d=0.0987662 t=49298
xin xing shi chang 	新興市場	c=0 d=0.0207008 t=49298
xin xing shi chang guo jia 	新興市場國家	c=4 d=1.56867 t=49298
xin xing xin xi ji shu chan ye 	新興信息技術產業	c=1 d=0.375311 t=49298
xin xing yi miao 	新型疫苗	c=1 d=0.440432 t=49298
xin xiu 	新秀	c=0 d=3.02282e-15 t=49298
xin xiu li 	新秀麗	c=1 d=3.03798e-14 t=49298
xin yan 	心眼	c=1 d=0.414783 t=49298
xin yan er 	心眼兒	c=1 d=0.398519 t=49298
xin yang 	信仰	c=1 d=0.000867409 t=49298
xin yang 	信陽	c=2 d=0.275105 t=49298
xin yang gai gu yin 	新陽改故陰	c=1 d=5.41285e-15 t=49298
xin ye tai 	新業態	c=6 d=1.85096 t=49298
xin yi 	心意	c=0 d=7.71576e-10 t=49298
xin yi lun 	新一輪	c=2 d=0.524985 t=49298
xin ying 	新穎	c=1 d=0.945496 t=49298
xin yong 	信用	c=1 d=0.0379942 t=49298
xin yong du 	信用度	c=1 d=0.114178 t=49298
xin yong ka 	信用卡	c=2 d=1.00815 t=49298
xin yong ping jia 	信用評價	c=1 d=0.090718 t=49298
xin you shi 	新優勢	c=1 d=0.546074 t=49298
xin zeng 	新增	c=4 d=0.645765 t=49298
xin zhan 	新站	c=1 d=0.160414 t=49298
xin zhi mo ti 	鋅指模體	c=1 d=0.000106752 t=49298
xin zhong 	心中	c=1 d=1.17715e-07 t=49298
xing 	型	c=8 d=1.0693 t=49298
xing 	姓	c=4 d=1.04515 t=49298
xing 	幸	c=0 d=4.54308e-14 t=49298
xing 	形	c=2 d=0.421052 t=49298
xing 	性	c=9 d=1.00616 t=49298
xing 	星	c=0 d=9.66263e-10 t=49298
xing 	興	c=2 d=0.786806 t=49298
xing 	行	c=2 d=0.172923 t=49298
xing 	醒	c=1 d=0.0095616 t=49298
xing a 	行啊	c=1 d=0.543351 t=49298
xing bie 	性別	c=3 d=0.179066 t=49298
xing bu tong 	行不通	c=1 d=0.131994 t=49298
xing bu xing 	行不行	c=1 d=6.19205e-09 t=49298
xing chang 	刑場	c=1 d=0.496585 t=49298
xing chen 	星辰	c=1 d=1.05435e-05 t=49298
xing cheng 	形成	c=51 d=3.33709 t=49298
xing cheng 	行程	c=1 d=0.337902 t=49298
xing cheng en yu wei jian 	幸承恩於偉餞	c=1 d=4.56586e-13 t=49298
xing cheng le 	形成了	c=1 d=0.410656 t=49298
xing chi 	星馳	c=0 d=2.32473e-14 t=49298
xing dong 	行動	c=3 d=0.496297 t=49298
xing dong gang yao 	行動綱要	c=1 d=0.360595 t=49298
xing er 	幸而	c=1 d=0.548812 t=49298
xing fen 	興奮	c=1 d=0.273898 t=49298
xing fen yi zhen 	星分翼軫	c=1 d=2.22245e-13 t=49298
xing fu 	幸福	c=0 d=0.0168638 t=49298
xing fu gan 	幸福感	c=1 d=0.704688 t=49298
xing ge 	行歌	c=0 d=1.46025e-14 t=49298
xing ge xiang da 	行歌相答	c=1 d=1.46756e-13 t=49298
xing guang 	星光	c=1 d=0.937067 t=49298
xing hao 	型號	c=3 d=0.798516 t=49298
xing hao 	幸好	c=1 d=0.965605 t=49298
xing ji 	星際	c=2 d=0.0115122 t=49298
xing ji bing 	性疾病	c=0 d=1.95168e-11 t=49298
xing jie chu 	性接觸	c=0 d=2.2611e-11 t=49298
xing jin bei lai 	興盡悲來	c=1 d=3.2825e-13 t=49298
xing jun 	興軍	c=1 d=0.647265 t=49298
xing ke 	行客	c=0 d=7.30286e-10 t=49298
xing kui 	幸虧	c=2 d=0.805152 t=49298
xing lai 	醒來	c=1 d=0.980199 t=49298
xing le 	行樂	c=0 d=2.93092e-15 t=49298
xing le 	醒了	c=1 d=0.00148848 t=49298
xing lu nan 	行路難	c=3 d=1.59348e-13 t=49298
xing ma 	形碼	c=7 d=1.02614 t=49298
xing ming 	姓名	c=5 d=1.78848 t=49298
xing neng 	性能	c=2 d=1.10141 t=49298
xing qi 	星期	c=4 d=0.589377 t=49298
xing qi 	興起	c=3 d=0.30984 t=49298
xing qi ri 	星期日	c=1 d=0.985112 t=49298
xing qi wu 	星期五	c=2 d=0.99005 t=49298
xing qi yu 	興起於	c=1 d=0.379083 t=49298
xing qu 	興趣	c=0 d=4.54231e-12 t=49298
xing ren 	杏仁	c=0 d=1.89352e-12 t=49298
xing rong 	形容	c=1 d=0.218712 t=49298
xing shi 	姓氏	c=1 d=0.00767337 t=49298
xing shi 	形勢	c=2 d=0.843138 t=49298
xing shi 	形式	c=18 d=1.05671 t=49298
xing shi 	行駛	c=0 d=8.44096e-08 t=49298
xing shi su du 	行駛速度	c=1 d=8.48327e-07 t=49298
xing si 	形似	c=1 d=0.574072 t=49298
xing tai 	形態	c=2 d=0.165675 t=49298
xing ti 	形體	c=1 d=0.941765 t=49298
xing wei 	行爲	c=7 d=0.843665 t=49298
xing wei gui fan 	行爲規範	c=1 d=0.634448 t=49298
xing wei sheng huo fang shi 	行爲生活方式	c=1 d=1.35124e-12 t=49298
xing wen ti 	性問題	c=0 d=0.0018968 t=49298
xing xin shi shang 	興新食尚	c=1 d=5.43906e-13 t=49298
xing xing 	星星	c=3 d=0.847894 t=49298
xing xing 	行行	c=0 d=6.31713e-10 t=49298
xing xing chong xing xing 	行行重行行	c=1 d=6.3488e-09 t=49298
xing zheng 	行政	c=1 d=0.247833 t=49298
xing zheng qu 	行政區	c=1 d=0.612626 t=49298
xing zhi 	性質	c=9 d=1.1714 t=49298
xing zhi 	興致	c=0 d=0.0740818 t=49298
xing zhuang 	形狀	c=1 d=0.0752014 t=49298
xing zhuang 	性狀	c=0 d=0.0755784 t=49298
xiong 	熊	c=0 d=2.04663e-15 t=49298
xiong 	胸	c=1 d=0.16367 t=49298
xiong cai 	雄才	c=0 d=0.0826959 t=49298
xiong di 	兄弟	c=1 d=0.594521 t=49298
xiong fei 	雄飛	c=0 d=3.37431e-15 t=49298
xiong fei ci cong rao lin jian 	雄飛雌從繞林間	c=1 d=3.39123e-14 t=49298
xiong mi ding 	胸嘧啶	c=1 d=0.107528 t=49298
xiong mo 	胸膜	c=0 d=2.14563e-12 t=49298
xiong mo bian hua 	胸膜變化	c=1 d=2.1564e-11 t=49298
xiong pao long yin yin yan quan 	熊咆龍吟殷岩泉	c=1 d=2.05688e-14 t=49298
xiong xian 	胸腺	c=12 d=0.740811 t=49298
xiong xian fei yi lai xing kang yuan 	胸腺非依賴性抗原	c=1 d=0.193013 t=49298
xiong xian ji zhi xi bao 	胸腺基質細胞	c=1 d=0.00477195 t=49298
xiong xian mi ding 	胸腺嘧啶	c=5 d=0.944499 t=49298
xiong xian shang pi xi bao 	胸腺上皮細胞	c=1 d=0.00449405 t=49298
xiong xian wei huan jing 	胸腺微環境	c=2 d=0.0101798 t=49298
xiong xian xi bao 	胸腺細胞	c=3 d=0.0143432 t=49298
xiong xian yi lai qu 	胸腺依賴區	c=1 d=0.010889 t=49298
xiong xian yi lai xing kang yuan 	胸腺依賴性抗原	c=1 d=0.19205 t=49298
xiong xing 	雄性	c=1 d=0.433874 t=49298
xiong zhou wu lie 	雄州霧列	c=1 d=2.32473e-13 t=49298
xiong zhuang 	雄壯	c=1 d=0.451581 t=49298
xiu 	休	c=1 d=0.701173 t=49298
xiu 	修	c=1 d=0.831104 t=49298
xiu 	繡	c=0 d=0.0822835 t=49298
xiu cai 	秀才	c=0 d=1.33135e-15 t=49298
xiu che 	修車	c=1 d=0.402524 t=49298
xiu deng 	修燈	c=1 d=0.00701293 t=49298
xiu ding 	修訂	c=2 d=0.234549 t=49298
xiu duan 	修短	c=0 d=0.0062662 t=49298
xiu duan he du 	修短合度	c=1 d=0.0629761 t=49298
xiu fu 	修復	c=2 d=9.04668e-05 t=49298
xiu gai 	修改	c=18 d=2.55098 t=49298
xiu hai 	修還	c=-1 d=0.0197421 t=49298
xiu hui 	修會	c=1 d=0.45612 t=49298
xiu ke 	休克	c=0 d=0.0185565 t=49298
xiu li 	修理	c=1 d=0.00628242 t=49298
xiu mei 	修眉	c=0 d=0.00652193 t=49298
xiu mei lian juan 	修眉聯娟	c=1 d=0.0655462 t=49298
xiu shi 	修飾	c=9 d=0.322653 t=49298
xiu shi fan ying 	修飾反應	c=2 d=0.162435 t=49298
xiu tou 	袖頭	c=1 d=0.67368 t=49298
xiu xi 	休息	c=3 d=0.771052 t=49298
xiu xia 	休暇	c=0 d=2.40754e-14 t=49298
xiu xing 	修行	c=1 d=0.139457 t=49298
xiu zheng an 	修正案	c=1 d=0.305746 t=49298
xu 	墟	c=0 d=2.27871e-14 t=49298
xu 	序	c=0 d=2.56923e-14 t=49298
xu 	徐	c=0 d=2.3016e-14 t=49298
xu 	虛	c=0 d=1.68317e-09 t=49298
xu 	需	c=4 d=0.522114 t=49298
xu 	須	c=0 d=7.34972e-15 t=49298
xu duo 	許多	c=6 d=1.15015 t=49298
xu duo mei 	許多酶	c=1 d=0.444858 t=49298
xu fa lv 	續發率	c=1 d=8.74609e-13 t=49298
xu fei 	續費	c=1 d=0.151072 t=49298
xu feng 	緒風	c=0 d=5.359e-16 t=49298
xu ge 	許閣	c=-1 d=0.0852143 t=49298
xu ge er yi te wu ci le 	許閣而已特務賜了	c=1 d=0.856415 t=49298
xu hao 	序號	c=3 d=1.07214 t=49298
xu ji 	蓄積	c=1 d=1.74794e-11 t=49298
xu ke 	許可	c=0 d=0.0400834 t=49298
xu ke zheng 	許可證	c=0 d=0.0579912 t=49298
xu li 	墟里	c=0 d=1.37189e-15 t=49298
xu li shang gu yan 	墟里上孤煙	c=1 d=1.37877e-14 t=49298
xu lie 	序列	c=12 d=1.3658 t=49298
xu lun 	緒論	c=1 d=0.124307 t=49298
xu ming 	虛名	c=0 d=1.02601e-09 t=49298
xu ming fu he yi 	虛名覆何益	c=1 d=1.03116e-08 t=49298
xu ni ji 	虛擬機	c=4 d=1.4333 t=49298
xu nuo 	許諾	c=1 d=0.618783 t=49298
xu qi 	續期	c=1 d=0.826959 t=49298
xu qiu 	需求	c=8 d=0.877548 t=49298
xu ru xia chen fan zhi ta 	徐孺下陳蕃之榻	c=1 d=2.31314e-13 t=49298
xu shi 	需時	c=1 d=1.45573e-06 t=49298
xu shi jian pan 	許氏鍵盤	c=2 d=0.305754 t=49298
xu shu 	敘述	c=10 d=0.698559 t=49298
xu shu san qiu 	序屬三秋	c=1 d=2.5821e-13 t=49298
xu xing ji qi fang ming shan 	須行即騎訪名山	c=1 d=2.29605e-14 t=49298
xu xu duo duo 	許許多多	c=1 d=0.000528747 t=49298
xu yao 	需要	c=79 d=3.54191 t=49298
xu yao de 	需要的	c=2 d=0.591555 t=49298
xu yao liang 	需要量	c=0 d=7.89201e-11 t=49298
xu yao shai jian ren shu 	需要篩檢人數	c=1 d=6.89654e-12 t=49298
xu yao you 	需要由	c=1 d=0.0665368 t=49298
xu you 	需由	c=1 d=0.0780817 t=49298
xu yu 	須臾	c=0 d=3.01806e-14 t=49298
xu yu ke qu 	須臾客去	c=1 d=1.91287e-13 t=49298
xu zhi liao ren shu 	需治療人數	c=1 d=5.26469e-12 t=49298
xu zhu 	虛竹	c=1 d=0.0135009 t=49298
xu zhuang 	絮狀	c=1 d=0.117068 t=49298
xu zhuang wu 	絮狀物	c=2 d=0.24619 t=49298
xuan 	選	c=24 d=1.77199 t=49298
xuan bao 	玄豹	c=0 d=6.77863e-16 t=49298
xuan bu 	宣佈	c=2 d=0.362402 t=49298
xuan chang gao yi 	玄裳縞衣	c=1 d=1.88439e-13 t=49298
xuan che 	軒車	c=0 d=1.04152e-09 t=49298
xuan che lai he chi 	軒車來何遲	c=1 d=1.04674e-08 t=49298
xuan cheng 	宣城	c=6 d=4.55954 t=49298
xuan chu 	選出	c=1 d=0.00216573 t=49298
xuan de 	玄德	c=0 d=0.0852144 t=49298
xuan de ben huang sun 	玄德本皇孫	c=1 d=0.856415 t=49298
xuan gua 	懸掛	c=0 d=0.00893673 t=49298
